id	front	back	tags
durrett_ch8_skorokhod_embedding_mean_zero	Skorokhod embedding for one mean-zero variable (8.1 Donsker's Theorem)	If X has mean 0 and finite second moment, then Brownian motion can be stopped at a time T with B_T distributed as X and E T = E X^2. Exam use: Turns random-walk increments into Brownian increments with matching variance, making Brownian path results available for sums. Pitfall: The random interval used in the construction is external randomness; conditioning is what preserves the stopping-time calculations.	skorokhod-embedding,brownian-motion,stopping-time,finite-variance
durrett_ch8_embedded_random_walk	Embedding iid sums in Brownian motion (8.1 Donsker's Theorem)	For iid mean-zero variance-one increments, one can choose increasing stopping times T_n so that S_n has the same finite-dimensional law as B(T_n), with iid gaps T_n-T_{n-1}. Exam use: Useful for proving CLT and invariance principles by comparing S_n to Brownian motion at random times. Pitfall: The equality is in distribution for the embedded walk, not necessarily pathwise equality with a preexisting walk.	random-walk,embedding,iid,brownian-scaling
durrett_ch8_clt_from_embedding	Central limit theorem via random times (8.1 Donsker's Theorem)	Since S_n/sqrt(n) has the same law as B(T_n)/sqrt(n) and T_n/n converges in probability to 1, S_n/sqrt(n) converges to a standard normal variable. Exam use: A clean proof strategy when Brownian embedding is available and finite variance is assumed. Pitfall: One still needs tight control of B(t) near t=1; T_n/n -> 1 alone is not a distributional identity.	clt,brownian-motion,converging-together,weak-law
durrett_ch8_donsker_invariance_principle	Donsker invariance principle (8.1 Donsker's Theorem)	The linearly interpolated process S(n t)/sqrt(n), built from iid mean-zero variance-one increments, converges weakly in C[0,1] to standard Brownian motion. Exam use: This is the main transfer principle from random walks to Brownian motion for maxima, hitting times, occupations, and path functionals. Pitfall: The topology matters: the statement is process-level weak convergence, not only convergence of each fixed time.	donsker,invariance-principle,functional-clt,c0-1
durrett_ch8_continuous_functional_transfer	Continuous functional transfer from Donsker (8.1 Donsker's Theorem)	If a functional on C[0,1] is continuous at Brownian paths with probability one, then applying it to the rescaled random walk converges to applying it to Brownian motion. Exam use: The default method for deriving asymptotics of path statistics from random-walk convergence. Pitfall: Many natural functionals are not everywhere continuous; check Brownian almost-sure continuity rather than ordinary continuity only.	continuous-mapping,path-functional,brownian-motion,donsker
durrett_ch8_maximum_functional	Random-walk maximum limit (8.1 Donsker's Theorem)	The normalized maximum max_{m<=n} S_m/sqrt(n) converges to max_{0<=t<=1} B_t, whose tail is 2 P(B_1 >= a). Exam use: Recognize maximum and boundary-crossing limits as Brownian supremum problems. Pitfall: The reflection-principle tail formula is for a nonnegative barrier and Brownian motion starting at 0.	maximum,reflection-principle,brownian-supremum,random-walk
durrett_ch8_last_zero_arcsine	Last zero before time n (8.1 Donsker's Theorem)	The last sign-change or zero time of a centered finite-variance walk, divided by n, converges to the Brownian last-zero time, which has the arcsine law. Exam use: Transfers the arcsine law beyond simple symmetric walks. Pitfall: The functional is discontinuous at some deterministic paths, so the Brownian null-set condition is the key point.	arcsine-law,last-zero,donsker,brownian-zero-set
durrett_ch8_occupation_time_halfline	Occupation time of a half-line (8.1 Donsker's Theorem)	The fraction of times a centered finite-variance walk spends above a sqrt(n) threshold converges to the Brownian occupation time above that threshold. Exam use: Use for random-walk occupation proportions and arcsine-type limits. Pitfall: Discrete-time counts require a small interpolation comparison; do not identify them blindly with continuous occupation time.	occupation-time,arcsine-law,brownian-motion,invariance-principle
durrett_ch8_martingale_sk_embedding	Embedding square-integrable martingales (8.2 CLTs for Martingales)	A square-integrable martingale can be represented in distribution as Brownian motion sampled at increasing stopping times whose conditional expected increments match conditional variances. Exam use: Provides the Brownian-time-change route to martingale CLTs. Pitfall: The conditional variance process, not deterministic time, controls the Brownian clock.	martingale,skorokhod-embedding,conditional-variance,brownian-motion
durrett_ch8_martingale_convergence_variance_sum	Martingale convergence from finite quadratic variation (8.2 CLTs for Martingales)	A square-integrable martingale with finite total conditional variance has an almost sure finite limit. Exam use: A standard way to separate negligible martingale tails from the main CLT-scale variance. Pitfall: Finite expected total variance is stronger than merely having bounded increments.	martingale-convergence,quadratic-variation,l2
durrett_ch8_martingale_fclt_random_clock	Martingale functional CLT by random clock (8.2 CLTs for Martingales)	For a martingale-difference array, if the embedded Brownian clock converges to deterministic time and large jumps vanish, the interpolated martingale converges to Brownian motion. Exam use: The process-level version of the martingale CLT; use when partial-sum paths rather than only final sums appear. Pitfall: The theorem needs both variance-clock convergence and a Lindeberg-type no-large-jumps condition.	martingale-fclt,random-clock,lindeberg,brownian-motion
durrett_ch8_martingale_lindeberg_feller	Lindeberg-Feller condition for martingales (8.2 CLTs for Martingales)	A martingale-difference array has a normal limit when its conditional variances converge to 1 and its conditional large-jump contribution vanishes. Exam use: High-yield theorem for dependent CLTs where conditional means are zero. Pitfall: Ordinary variance convergence is not enough; the conditional variance process must stabilize.	martingale-clt,lindeberg-condition,conditional-variance,triangular-array
durrett_ch8_martingale_clt_final_form	Martingale central limit theorem (8.2 CLTs for Martingales)	A martingale-difference sequence normalized by its variance has a normal limit under conditional variance convergence and conditional Lindeberg conditions. Exam use: Use for sums of dependent variables after decomposing them into martingale differences. Pitfall: Verify the filtration and conditional mean-zero property before applying the theorem.	martingale-clt,normal-limit,filtration,conditional-lindeberg
durrett_ch8_stationary_coboundary_clt	Stationary sequence CLT through martingale approximation (8.3 CLTs for Stationary Sequences)	For an ergodic stationary square-integrable sequence, a CLT can be proved when the partial sums are well approximated by a martingale with stationary differences. Exam use: Main strategy for dependent stationary sequences on prelim-style problems. Pitfall: Ergodicity and square integrability do not by themselves guarantee a CLT; the approximation condition matters.	stationary-sequence,martingale-approximation,ergodic,clt
durrett_ch8_projective_stationary_clt	Projective criterion for stationary CLT (8.3 CLTs for Stationary Sequences)	If conditional projections of future partial sums are summable or suitably controlled, stationary centered sequences satisfy a CLT with variance from the martingale approximation. Exam use: A practical check for dependent sequences where conditioning on the past becomes small. Pitfall: Do not replace the projective condition by ordinary covariance decay unless a theorem justifies it.	projective-criterion,stationary,conditional-expectation,clt
durrett_ch8_m_dependent_clt	M-dependent stationary CLT (8.3 CLTs for Stationary Sequences)	For a centered stationary M-dependent sequence, the normalized sum has a normal limit with long-run variance sigma^2 = E X_0^2 + 2 sum_{k=1}^M E X_0 X_k. Exam use: Fast recognition pattern for finite-range dependence problems. Pitfall: The limiting variance can be zero; in that case the usual nondegenerate normal limit collapses.	m-dependent,stationary,long-run-variance,clt
durrett_ch8_markov_chain_poisson_equation_clt	Markov-chain CLT via Poisson equation (8.3 CLTs for Stationary Sequences)	For a stationary ergodic Markov chain, additive functionals can satisfy a CLT when f is represented through a solution of a Poisson equation, producing a martingale plus a telescoping error. Exam use: Use when a dependent sum is generated by a Markov transition kernel. Pitfall: Stationarity or a controlled initial distribution is needed; starting far from equilibrium can add transient terms.	markov-chain,poisson-equation,additive-functional,martingale-approximation
durrett_ch8_moving_average_clt	Moving-average process CLT (8.3 CLTs for Stationary Sequences)	Linear moving averages of iid innovations satisfy CLTs under coefficient conditions that make the process square integrable and approximable by finite-dependent truncations. Exam use: A standard dependent but explicit model where long-run variance can often be computed. Pitfall: Absolute or square summability assumptions on coefficients are not cosmetic; they justify truncation and variance formulas.	moving-average,linear-process,m-dependent-approximation,clt
durrett_ch8_mixing_covariance_inequality	Mixing covariance inequality (8.3.1 Mixing Properties)	Mixing coefficients bound covariances between variables measurable with respect to separated sigma-fields, with Holder exponents controlling integrability. Exam use: Converts abstract mixing assumptions into summable covariance or projection bounds for CLTs. Pitfall: Check the exact mixing coefficient and exponent relation; different texts use different normalizations.	mixing,covariance-bound,holder,dependence
