id	front	back	tags
ch6_exercise_method_invariant_sigma_field_measurable_functions	Invariant sigma-field and invariant random variables	Show invariant events form a sigma-field by pullback closure; prove an I-measurable random variable is invariant by checking rational cuts, and conversely use invariant inverse images. Use case: Exercise 6.1.1; identifying E(X|I) and invariant limits.	invariant-sigma-field,measurability,rational-cuts
ch6_exercise_method_almost_invariant_strictification	Strict representative for almost invariant sets	From an almost invariant set, form a forward pullback union B and then C=intersection phi^{-n}B; C is strictly invariant and differs only by a null set. Use case: Exercise 6.1.2; replacing mod-null invariance by exact invariance.	almost-invariant,strict-invariance,null-sets
ch6_exercise_method_direct_irrational_rotation_ergodicity	Direct density proof of irrational rotation ergodicity	Use pigeonhole gaps to prove the irrational orbit is dense, approximate positive-measure sets by high-density intervals, and contradict coexistence of invariant A and A^c with positive measure. Use case: Exercise 6.1.3; proving ergodicity without Fourier series.	irrational-rotation,density-points,ergodicity
ch6_exercise_method_two_sided_stationary_extension	Two-sided extension of a stationary sequence	Define finite-dimensional laws on integer-indexed coordinates by shifting all indices into the nonnegative side, then use stationarity for consistency and Kolmogorov extension. Use case: Exercise 6.1.4; return-time and cycle arguments needing negative times.	stationary-process,two-sided,kolmogorov-extension
ch6_exercise_method_factor_stationarity_ergodicity	Stationarity and ergodicity pass to factors	For Y_k=g(X_k,X_{k+1},...), stationarity follows from shifted future laws; invariant events for Y pull back to invariant events for X, so ergodicity passes to Y. Use case: Exercise 6.1.5; creating stationary derived processes.	factor-map,stationarity,ergodicity
ch6_exercise_method_random_phase_iid_blocks	Random phase makes iid blocks stationary and ergodic	Concatenate iid blocks and start at an independent uniform phase; one-step shifts rotate the phase and occasionally shift the iid block sequence, giving stationarity and ergodicity. Use case: Exercise 6.1.6; block constructions with stationary output.	iid-blocks,random-phase,ergodicity
ch6_exercise_method_gauss_map_invariant_density	Gauss map invariant density by branch telescoping	For phi(x)=1/x-floor(1/x), split into branches x=1/(k+y); the transformed density sum telescopes to 1/(1+y). Use case: Exercise 6.1.7; verifying the continued-fraction invariant measure.	continued-fractions,gauss-map,invariant-density
ch6_exercise_method_lp_upgrade_by_truncation	Lp upgrade of Birkhoff by truncation	Prove Lp convergence for bounded observables by bounded convergence, then truncate X and control the tail using Jensen plus Lp contraction of conditional expectation. Use case: Exercise 6.2.1; upgrading ergodic averages from L1 to Lp.	birkhoff,lp,truncation,jensen
ch6_exercise_method_moving_observable_ergodic_average	Moving observable ergodic average	Decompose averages of g_m(phi^m) into the fixed g average plus errors; control a.s. errors by tail suprema and L1 errors by Cesaro means. Use case: Exercise 6.2.2; triangular or time-varying observables in ergodic averages.	moving-observable,tail-supremum,cesaro,birkhoff
ch6_exercise_method_wiener_maximal_from_maximal_ergodic	Wiener maximal inequality from maximal ergodic lemma	Apply the maximal ergodic lemma to Y=X-alpha so the positivity event of the shifted partial sums is exactly {max S_j/j > alpha}. Use case: Exercise 6.2.3; deriving maximal probability bounds for ergodic averages.	maximal-ergodic-lemma,wiener-inequality,threshold-shift
