id	front	back	tags
durrett_ch6_stationary_sequence_definition	Stationary sequence (6.1 Definitions and Examples)	A sequence X_0, X_1, ... is stationary when each shifted finite block has the same law as the original block. Exam use: Use as the entry point for ergodic averages, stationary Markov chains, rotations, and stationary increments. Pitfall: Stationarity is distributional, not pathwise equality; it does not imply independence.	stationarity,finite-dimensional-laws,shift
durrett_ch6_measure_preserving_shift_model	Measure-preserving transformation model (6.1 Definitions and Examples)	Every stationary sequence on a nice state space can be represented as X_n(omega)=X(phi^n omega) for a measure-preserving map phi. Exam use: Lets all ergodic-theorem statements be proved for one abstract dynamical system. Pitfall: The representation changes the sample space; it preserves laws but not necessarily the user's original probability space.	measure-preserving,shift-space,stationary-process
durrett_ch6_invariant_sigma_field	Invariant events and invariant sigma-field (6.1 Definitions and Examples)	An event A is invariant if phi^{-1}A=A up to null sets; the invariant events form the sigma-field I. Exam use: The limit in Birkhoff's theorem is the conditional expectation onto I. Pitfall: Invariant means unchanged under the transformation, not merely high probability overlap after one shift.	invariant-events,sigma-field,conditional-expectation
durrett_ch6_ergodicity_definition	Ergodicity (6.1 Definitions and Examples)	A measure-preserving transformation is ergodic when every invariant event has probability 0 or 1. Exam use: Use ergodicity to turn Birkhoff limits E(X|I) into constants EX. Pitfall: Ergodic is stronger than stationary and different from independent; periodic examples can be stationary but not mixing.	ergodicity,invariant-events,0-1-law
durrett_ch6_iid_shift_ergodic	IID shifts are ergodic (6.1 Definitions and Examples)	For an iid sequence, invariant shift events lie in the tail sigma-field, so Kolmogorov's 0-1 law implies ergodicity. Exam use: Explains why Birkhoff's theorem recovers the strong law for iid sequences. Pitfall: The tail sigma-field argument uses iid independence; it is not automatic for every stationary sequence.	iid,tail-sigma-field,ergodic
durrett_ch6_stationary_markov_chain_ergodic	Stationary Markov chain ergodicity criterion (6.1 Definitions and Examples)	A countable-state Markov chain started in a positive stationary distribution is ergodic exactly when the chain is irreducible. Exam use: Use for time averages of irreducible positive recurrent chains. Pitfall: Irreducibility makes I trivial, but periodic chains may still have a nontrivial tail sigma-field.	markov-chains,irreducibility,stationary-distribution
durrett_ch6_circle_rotation_ergodicity	Circle rotation ergodicity (6.1 Definitions and Examples)	Rotation x -> x+theta mod 1 is ergodic under Lebesgue measure when theta is irrational and not ergodic when theta is rational. Exam use: The canonical deterministic example where ergodic averages behave like probabilistic averages. Pitfall: Rational rotations have finite orbits and many invariant unions of orbit slices.	circle-rotation,fourier-series,irrational
durrett_ch6_functions_of_stationary_processes	Functions of stationary processes (6.1 Definitions and Examples)	Measurable functions of the future of a stationary process form another stationary process; ergodicity is inherited under such factors. Exam use: Useful for creating stationary indicator, block, or return-time processes. Pitfall: The function must be applied in a shift-compatible way; arbitrary time-dependent functions can destroy stationarity.	stationary-factors,measurable-functions,ergodicity
durrett_ch6_birkhoff_ergodic_theorem	Birkhoff ergodic theorem (6.2 Birkhoff's Ergodic Theorem)	For X in L1, the time averages n^{-1} sum_{m<n} X(phi^m omega) converge almost surely and in L1 to E(X|I). Exam use: Main tool for replacing long-run empirical averages by conditional or ordinary means. Pitfall: Without ergodicity the limit is random: it is E(X|I), not necessarily EX.	birkhoff,ergodic-theorem,time-averages
durrett_ch6_maximal_ergodic_lemma	Maximal ergodic lemma (6.2 Birkhoff's Ergodic Theorem)	For partial sums S_k of X along a measure-preserving orbit and M_k=max(0,S_1,...,S_k), one has E(X; M_k>0) >= 0. Exam use: The key technical inequality behind Birkhoff's pointwise convergence proof. Pitfall: It is an integration inequality, not a direct maximal probability bound; track the set {M_k>0}.	maximal-ergodic-lemma,partial-sums,birkhoff-proof
