id	front	back	tags
durrett_ch3_stirling_local_binomial	Stirling local binomial approximation (3.1 The De Moivre-Laplace Theorem)	For a simple symmetric walk, P(S_{2n}=2k) is asymptotic to (pi n)^(-1/2) exp(-x^2/2) when 2k/sqrt(2n) tends to x. Exam use: Use as the prototype local normal approximation before invoking characteristic functions. Pitfall: The approximation is local and depends on the lattice parity of S_{2n}.	stirling,binomial,local-normal
durrett_ch3_demoivre_laplace	De Moivre-Laplace theorem (3.1 The De Moivre-Laplace Theorem)	For a simple symmetric random walk, S_m/sqrt(m) converges in distribution to the standard normal law. Exam use: A concrete CLT model for coin flips, binomial normal approximation, and continuity-correction intuition. Pitfall: Do not forget the even/odd lattice issue; the theorem for all m follows after a small parity argument.	clt,simple-random-walk,normal-approximation
durrett_ch3_product_exponential_limit	Product exponential limit (3.1 The De Moivre-Laplace Theorem)	If max_j |c_{j,n}| goes to 0, sum_j c_{j,n} tends to lambda, and the sums of absolute values are bounded, then product_j(1+c_{j,n}) tends to exp(lambda). Exam use: Fast route for birthday, occupancy, and rare-event product limits. Pitfall: The maximum term condition is essential; a single large factor can break the exponential approximation.	product-limit,rare-events,asymptotics
durrett_ch3_large_deviation_stirling_patterns	Stirling large-deviation patterns (3.1 The De Moivre-Laplace Theorem)	Stirling's formula also gives exponential rates for binomial and Poisson tails at linear deviations from the mean. Exam use: Useful when an exam asks for n^{-1} log P(S_n >= n a) before the full large-deviation theorem is available. Pitfall: Normal approximation is not valid on linear-deviation scales; use exponential rates instead.	large-deviations,stirling,tail-asymptotics
durrett_ch3_weak_convergence_definition	Weak convergence definition (3.2 Weak Convergence)	Distribution functions F_n converge weakly to F when F_n(x) tends to F(x) at every continuity point of F; random variables converge in distribution when their laws do. Exam use: This is the language used in CLT, Poisson approximation, stable limits, and multivariate limits. Pitfall: Convergence at discontinuity points of the limit is not required and can fail even for X+1/n tending to X.	weak-convergence,distribution-functions,continuity-points
durrett_ch3_rare_geometric_exponential_limit	Waiting for rare events gives an exponential limit (3.2.1 Examples)	If X_p is geometric with success probability p, then p X_p converges in distribution to an exponential(1) random variable as p tends to 0. Exam use: Recognize geometric waiting times under rare-event scaling. Pitfall: The scale is p X_p, not X_p/p; the waiting time itself diverges.	geometric,exponential-limit,rare-events
durrett_ch3_birthday_rayleigh_limit	Birthday collision Rayleigh limit (3.2.1 Examples)	For iid uniform draws from N boxes, the first collision time T_N satisfies P(T_N/sqrt(N)>x) tending to exp(-x^2/2). Exam use: A standard occupancy/collision scaling pattern. Pitfall: The natural scale is sqrt(N), not N, because collisions depend on pairs.	birthday-problem,occupancy,rayleigh-tail
durrett_ch3_scheffe_theorem	Scheffe theorem for densities (3.2.1 Examples)	If probability densities f_n converge pointwise to a density f, then the corresponding probability measures converge in total variation, hence weakly. Exam use: Use when a limit distribution is easiest to prove through densities, such as central order statistics. Pitfall: Pointwise convergence of densities is stronger than weak convergence and is not necessary.	scheffe,densities,total-variation
durrett_ch3_skorokhod_quantile_representation	Quantile representation for weak convergence (3.2.2 Theory)	If F_n converges weakly to F, one can construct random variables with these laws on (0,1) that converge almost surely. Exam use: Lets proof problems transfer weak convergence into almost sure convergence for bounded continuous mappings. Pitfall: The constructed variables need not be the original variables; this is a representation argument.	quantile-transform,skorokhod,weak-convergence
durrett_ch3_bounded_continuous_test_functions	Bounded continuous test function characterization (3.2.2 Theory)	X_n converges in distribution to X iff E g(X_n) tends to E g(X) for every bounded continuous function g. Exam use: The default way to define weak convergence on general topological spaces. Pitfall: Boundedness matters; unbounded continuous functions need extra tightness or uniform integrability.	portmanteau,test-functions,bounded-continuous
