id	front	back	tags
durrett_ch4_conditional_expectation_definition	Conditional expectation as Radon-Nikodym projection (4.1 Conditional Expectation)	E(X|F) is the F-measurable integrable random variable Y satisfying integral_A Y dP = integral_A X dP for every A in F. Exam use: The starting point for every martingale verification and every conditioning calculation. Pitfall: Conditional expectations are only unique up to almost sure equality, so pointwise formulas need version awareness.	conditional-expectation,radon-nikodym,sigma-field
durrett_ch4_conditional_expectation_uniqueness_locality	Uniqueness and locality of conditional expectation (4.1 Conditional Expectation)	Versions of E(X|F) agree almost surely; if X1=X2 on B in F, then their conditional expectations agree on B almost surely. Exam use: Use locality to compute conditional expectations piecewise on atoms or events known at the conditioning time. Pitfall: The event where the variables agree must belong to the conditioning sigma-field.	conditional-expectation,locality,versions
durrett_ch4_partition_conditioning_formula	Conditional expectation on a countable partition (4.1.1 Examples)	If F is generated by a countable positive-probability partition, E(X|F) is constant on each atom and equals the average of X over that atom. Exam use: Turns abstract conditioning into the familiar finite-state formula used in Bayes and Markov-chain problems. Pitfall: Atoms with probability zero cannot be handled by dividing by P(atom).	conditioning,partition,bayes
durrett_ch4_density_conditioning_formula	Conditional density formula (4.1.1 Examples)	For a joint density f(x,y), E(g(X)|Y)=h(Y), where h(y) is the conditional-density average of g against f(x,y). Exam use: Use for regression-style computations and conditional distribution questions with joint densities. Pitfall: Conditioning on Y=y is a density formula, not literal conditioning on a positive-probability event.	conditional-density,joint-density,fubini
durrett_ch4_independent_conditioning_rule	Conditioning with independent variables (4.1.1 Examples)	If X and Y are independent and g(x)=E phi(x,Y), then E(phi(X,Y)|X)=g(X). Exam use: A quick way to integrate out fresh independent noise while leaving the present state fixed. Pitfall: Do not replace Y by its mean unless phi is linear in Y.	independence,conditioning,product-measure
durrett_ch4_conditional_expectation_properties	Linearity, monotonicity, and monotone convergence conditionally (4.1.2 Properties)	Conditional expectation is linear, preserves order, and respects monotone limits under the same integrability hypotheses as ordinary expectation. Exam use: These are the algebra rules behind almost every martingale manipulation. Pitfall: Check integrability hypotheses before using linearity with signed variables.	conditional-expectation,linearity,monotone-convergence
durrett_ch4_conditional_jensen_contraction	Conditional Jensen and Lp contraction (4.1.2 Properties)	For convex phi, phi(E(X|F)) <= E(phi(X)|F); in particular conditional expectation is a contraction on Lp for p >= 1. Exam use: Use to prove submartingale transforms and uniform Lp bounds after conditioning. Pitfall: The inequality is almost sure, and the convex function must be integrable after composition.	jensen,lp-contraction,conditional-expectation
durrett_ch4_tower_property_smaller_sigma_field_wins	Tower property: the smaller sigma-field wins (4.1.2 Properties)	If F1 subset F2, then E(E(X|F1)|F2)=E(X|F1) and E(E(X|F2)|F1)=E(X|F1). Exam use: Essential for collapsing repeated conditionings in martingale and Markov arguments. Pitfall: The order of unrelated sigma-fields cannot be swapped; nesting is the whole point.	tower-property,conditioning,sigma-fields
durrett_ch4_taking_out_what_is_known	Taking out what is known (4.1.2 Properties)	If X is F-measurable and the products are integrable, then E(XY|F)=X E(Y|F). Exam use: Lets predictable factors pass through conditional expectation in martingale increment calculations. Pitfall: The multiplier must be measurable with respect to the conditioning sigma-field.	conditioning,measurability,predictable
durrett_ch4_conditional_expectation_l2_projection	Conditional expectation as L2 best predictor (4.1.2 Properties)	When EX^2 is finite, E(X|F) is the F-measurable square-integrable variable minimizing E(X-Y)^2. Exam use: Useful for variance decompositions and interpreting conditional expectation as optimal prediction. Pitfall: The projection picture needs second moments; L1 conditional expectation exists more generally.	l2-projection,best-predictor,orthogonality
