front	back	tags
Chapter 4.1 method: what is the main exercise strategy?	Compute conditional expectations by testing against the conditioning sigma-field, then use projection, Jensen, conditioning on partitions, and variance decomposition to simplify identities.	chapter4,4_1,conditional-expectation,projection,jensen,variance-decomposition
Chapter 4.2 method: what is the main exercise strategy?	Check martingale type by conditioning one step ahead; use predictable transforms, stopped processes, upcrossing counts, and product decompositions to prove convergence or construct examples.	chapter4,4_2,martingale,predictable-transform,stopping,upcrossing,convergence
Chapter 4.3 method: what is the main exercise strategy?	Use concrete martingale examples to isolate hypotheses: likelihood-ratio processes give martingales, additive error bounds give convergence, and branching recursions reduce to fixed-point equations.	chapter4,4_3,examples,likelihood-ratio,radon-nikodym,branching-process,counterexample
Chapter 4.4 method: what is the main exercise strategy?	Apply optional sampling and Doob inequalities to stopped martingales; combine orthogonal increments, quadratic martingales, and Kronecker normalization for L2 and strong-law estimates.	chapter4,4_4,doob-inequality,optional-sampling,quadratic-martingale,orthogonal-increments,strong-law
Chapter 4.6 method: what is the main exercise strategy?	Recognize when convergence is upgraded by uniform integrability; use Levy upward and zero-one laws to turn conditioning on growing sigma-fields into posterior consistency or absorbing-state conclusions.	chapter4,4_6,uniform-integrability,levy-upward,zero-one-law,posterior-consistency,bounded-martingale
Chapter 4.7 method: what is the main exercise strategy?	Use backward martingale convergence for tail-like sigma-fields, then exploit exchangeability to replace conditional laws by finite-population hypergeometric formulas.	chapter4,4_7,backward-martingale,exchangeability,hypergeometric,u-statistic,covariance
Chapter 4.8 method: what is the main exercise strategy?	Choose a martingale matched to the target functional, stop it at bounded levels, justify optional stopping, and pass limits to obtain hitting probabilities, Wald identities, and ruin bounds.	chapter4,4_8,optional-stopping,random-walk,wald-identity,gambler-ruin,exponential-martingale
Chapter 4.9 method: what is the main exercise strategy?	Encode first-return decompositions as renewal equations and solve them with generating functions; singular behavior at one reveals recurrence and return-time means.	chapter4,4_9,renewal-equation,generating-functions,return-time,random-walk
Conditional Bayes rule from indicator tests	To identify E[X | H] on a partition or sub-sigma-field, multiply by indicators of conditioning events and match integrals. Use case: Section 4.1 exercises involving conditional probabilities, finite partitions, and conditional densities.	chapter4,calculation-template,conditional-expectation,indicator-test,bayes
Transfer pointwise inequalities through conditioning	If an inequality holds after multiplying by every nonnegative H-measurable test function, it holds for the conditional expectations. Use case: Conditional Jensen, conditional Markov bounds, and monotonicity arguments in Section 4.1.	chapter4,proof-template,conditional-expectation,inequality,test-functions
L2 projection Pythagorean identity for conditioning	Use E[(X-E[X|H])Z]=0 for H-measurable Z to split squared errors and prove best-approximation identities. Use case: Projection and regression-style conditional expectation exercises.	chapter4,proof-template,l2-projection,orthogonality,conditional-expectation
