id	front	back	tags
durrett_ch7_brownian_definition	Chapter 7: Brownian motion definition	A Brownian motion has independent increments, Gaussian increments B(s+t)-B(s) with mean 0 and variance t, and almost surely continuous sample paths. Exam use: Use as the base checklist whenever a process is claimed to be Brownian. Pitfall: Independent Gaussian increments alone do not automatically give continuous paths unless a continuous modification is specified.	brownian-motion,gaussian-increments,continuous-paths
durrett_ch7_translation_invariance	Chapter 7: Translation invariance of increments	The process {B_t-B_0:t>=0} is independent of B_0 and has the law of Brownian motion started at 0. Exam use: Lets hitting and exit calculations reduce to a Brownian motion started at 0 or at the current location. Pitfall: This is spatial translation of the starting point, not time-shift Markov conditioning.	translation-invariance,increments,starting-point
durrett_ch7_brownian_scaling	Chapter 7: Brownian scaling	For c>0 and B_0=0, {B_{cs}:s>=0} has the same finite-dimensional distributions as {sqrt(c) B_s:s>=0}. Exam use: High-yield tool for hitting-time laws, path regularity, and rescaling exit probabilities. Pitfall: Scaling changes time by c and space by sqrt(c); reversing these powers is a common error.	scaling,self-similarity,finite-dimensional-distributions
durrett_ch7_gaussian_process_characterization	Chapter 7: Gaussian process characterization	A continuous Gaussian process with mean 0 and covariance E[B_s B_t]=s wedge t is Brownian motion started at 0. Exam use: Use to prove transformed processes are Brownian, especially time inversion. Pitfall: The covariance condition alone is not enough without the Gaussian finite-dimensional law and continuity.	gaussian-process,covariance,characterization
durrett_ch7_kolmogorov_extension_construction	Chapter 7: Kolmogorov extension construction	Brownian finite-dimensional distributions are built from Gaussian transition densities and then extended consistently to a path-space probability law. Exam use: Explains why the formal process exists before path properties are studied. Pitfall: The raw product path space can make continuity nonmeasurable; the continuous-path space fixes the measurable model.	construction,kolmogorov-extension,transition-density
durrett_ch7_kolmogorov_continuity_criterion	Chapter 7: Kolmogorov continuity criterion	If E|X_t-X_s|^beta <= K|t-s|^{1+alpha}, then dyadic paths admit a Holder-continuous version of any exponent gamma<alpha/beta. Exam use: Use moment bounds to prove sample-path continuity for Gaussian and process constructions. Pitfall: The exponent comes from alpha/beta, not beta/alpha; endpoint exponents are usually not obtained.	kolmogorov-continuity,holder,borel-cantelli
durrett_ch7_brownian_holder_half	Chapter 7: Brownian Holder continuity below one half	Brownian paths are almost surely Holder continuous on compact intervals for every exponent gamma<1/2. Exam use: Useful for justifying pathwise approximations while remembering Brownian paths are rough. Pitfall: The exponent 1/2 itself is not included.	holder,path-regularity,gaussian-moments
durrett_ch7_brownian_nowhere_differentiable	Chapter 7: Brownian paths are nowhere differentiable	With probability one, Brownian paths are not Lipschitz continuous, and hence not differentiable, at any time. Exam use: Prevents calculus-style manipulation of B_t and motivates quadratic variation and Ito calculus. Pitfall: Continuity does not imply bounded variation or differentiability; Brownian paths are continuous but very rough.	nondifferentiability,rough-paths,path-regularity
durrett_ch7_quadratic_variation_hint	Chapter 7: Dyadic quadratic variation	Along dyadic partitions of [0,t], the sum of squared Brownian increments converges to t in the sense used later for Ito's formula. Exam use: Core intuition behind the extra (1/2)f'' term in Ito's formula. Pitfall: This is about squared increments; ordinary total variation behaves very differently.	quadratic-variation,dyadic-partitions,ito
durrett_ch7_d_dimensional_brownian	Chapter 7: Multidimensional Brownian motion	A d-dimensional Brownian motion has independent one-dimensional Brownian coordinates and Gaussian transition density (2 pi t)^(-d/2) exp(-|y-x|^2/(2t)). Exam use: Use for vector Ito formulas and multidimensional hitting or transition-density computations. Pitfall: Do not replace coordinate independence by merely matching each marginal coordinate law.	multidimensional,transition-density,gaussian-kernel
