id	front	back	tags
durrett_ch2_event_independence	Independence of events (2.1 Independence)	Events A and B are independent when P(A intersect B) = P(A)P(B); finite families require the product formula for every subfamily. Exam use: Use it as the base language for indicator arguments, Borel-Cantelli, and pairwise-versus-mutual independence examples. Pitfall: Pairwise independence does not imply mutual independence; always check all finite subcollections when the statement says independent.	independence,events,pairwise-vs-mutual
durrett_ch2_rv_sigma_independence	Random variables and sigma-field independence (2.1 Independence)	Random variables are independent exactly when their generated sigma-fields are independent; measurable variables inside independent sigma-fields are independent. Exam use: Lets you move cleanly between event, random-variable, and information-field formulations. Pitfall: Do not confuse uncorrelated with independent; zero covariance is far weaker.	independence,sigma-field,random-variables
durrett_ch2_indicator_independence	Indicators encode event independence (2.1 Independence)	Events A and B are independent if and only if their indicators 1_A and 1_B are independent random variables. Exam use: Useful when converting event problems into expectation or covariance calculations. Pitfall: Independence of indicators is stronger than merely E[1_A 1_B] being computable; it is equivalent here because the variables are binary.	indicators,events,independence
durrett_ch2_pi_lambda_independence	Pi-lambda independence extension (2.1.1 Sufficient Conditions for Independence)	If independent collections are pi-systems, then the sigma-fields they generate are independent. Exam use: High-value proof method for showing independence from checking rectangles, half-lines, or finite-dimensional cylinder sets. Pitfall: The checked classes must be pi-systems and must generate the desired sigma-fields.	pi-lambda,generators,independence
durrett_ch2_independent_blocks	Independence of blocks (2.1.1 Sufficient Conditions for Independence)	Disjoint blocks built from independent families are independent after taking generated sigma-fields. Exam use: Use this to show X_1 is independent of functions of X_2,...,X_n, or that future increments are independent of past events. Pitfall: The blocks must be formed from disjoint subfamilies of an independent family.	blocks,sigma-fields,independent-families
durrett_ch2_functions_of_independent_blocks	Functions of independent blocks (2.1.1 Sufficient Conditions for Independence)	Measurable functions of disjoint independent blocks remain independent. Exam use: Essential for random walks: past maxima and future increments can be separated. Pitfall: The functions may be complicated, but they cannot reuse variables from another block.	measurable-functions,blocks,random-walk
durrett_ch2_joint_law_product_measure	Independent variables have product joint law (2.1.2 Independence, Distribution, and Expectation)	If X_1,...,X_n are independent with laws mu_i, then the joint law of the vector is the product measure mu_1 x ... x mu_n. Exam use: Turns independence questions into product-measure integration questions. Pitfall: Matching marginal laws alone never proves independence; the joint law must factor.	joint-law,product-measure,independence
durrett_ch2_expectation_factorization	Expectation factorization under independence (2.1.2 Independence, Distribution, and Expectation)	If X and Y are independent, then E[h(X,Y)] is the product-measure integral; in particular E[f(X)g(Y)] = E[f(X)]E[g(Y)] under nonnegative or integrable hypotheses. Exam use: Core tool for variance of sums, covariance checks, moment computations, and LLN proofs. Pitfall: The factorization needs independence and integrability/nonnegativity; linearity of expectation alone is not enough for products.	expectation,factorization,fubini
durrett_ch2_convolution_cdf	Convolution of distribution functions (2.1.3 Sums of Independent Random Variables)	For independent X and Y with CDFs F and G, P(X+Y <= z) = integral F(z-y) dG(y). Exam use: Use for distribution of sums when densities are absent or mixed. Pitfall: The notation dG means integration with respect to the probability measure induced by G, not ordinary differentiation unless a density exists.	convolution,cdf,sum
durrett_ch2_convolution_density	Convolution density formula (2.1.3 Sums of Independent Random Variables)	If X has density f and Y is independent with law G, then X+Y has density h(x)= integral f(x-y)dG(y); if Y has density g, h=f*g. Exam use: Standard way to compute sums of exponentials, normals, and mixed variables. Pitfall: Keep the order x-y straight and check that the variables are independent.	convolution,density,sum
durrett_ch2_standard_convolution_examples	Standard convolution examples (2.1.3 Sums of Independent Random Variables)	Independent exponentials with the same rate give gamma/Erlang sums; independent normals add means and variances. Exam use: These are quick recognition patterns for prelim computations and later CLT comparisons. Pitfall: Normal parameters vary by text; in Durrett normal(mu,a) uses variance parameter a.	normal,exponential,convolution
durrett_ch2_construct_independent_variables	Constructing independent random variables (2.1.4 Constructing Independent Random Variables)	Finite independent variables with prescribed laws live on a product space with coordinate maps; infinite sequences use infinite product measures and cylinder sets. Exam use: Important when a proof begins with 'let X_1,X_2,... be independent with laws ...'; this construction justifies existence. Pitfall: Infinite product constructions are subtler than finite products; do not treat all subsets of R^N as measurable.	construction,product-space,iid
durrett_ch2_weak_law_l2	L2 weak law of large numbers (2.2.1 L2 Weak Laws)	For uncorrelated variables with bounded average variance, (S_n - E S_n)/n converges to 0 in L2 and hence in probability. Exam use: Fastest LLN proof when second moments are available. Pitfall: Independence is sufficient but not necessary; uncorrelatedness plus variance control is enough.	weak-law,l2,chebyshev
durrett_ch2_iid_finite_variance_wlln	IID finite variance weak law (2.2.1 L2 Weak Laws)	If X_i are iid with finite variance and mean mu, then S_n/n converges to mu in probability. Exam use: The canonical first LLN proof; use it whenever the problem gives second moments. Pitfall: This proof does not cover infinite-variance variables, even when the mean exists.	iid,finite-variance,weak-law
durrett_ch2_triangular_array_wlln	Triangular array weak law (2.2.2 Triangular Arrays)	For row-wise independent triangular arrays, convergence of sums follows when row variances are small and large jumps are controlled. Exam use: This is the flexible form behind many LLN proofs with changing distributions. Pitfall: Rows are independent within each n; do not assume one infinite sequence unless the problem states it.	triangular-array,weak-law,truncation
durrett_ch2_truncation_method	Truncation method for weak laws (2.2.3 Truncation)	Replace X_i by X_i 1{|X_i| <= cutoff}, prove a law for the bounded part, and show discarded large jumps are negligible. Exam use: Main route from finite variance LLN to finite mean LLN. Pitfall: Choose the cutoff at the scale of the sum, often n or epsilon n; a fixed cutoff usually proves the wrong statement.	truncation,weak-law,large-jumps
durrett_ch2_iid_finite_mean_wlln	IID finite mean weak law (2.2.3 Truncation)	If X_i are iid with E|X_1| < infinity and mean mu, then S_n/n converges to mu in probability. Exam use: This is the weak law most often needed when only integrability is assumed. Pitfall: Finite mean is enough for WLLN but the proof requires controlling both tails and centering errors.	iid,finite-mean,weak-law
