id	front	back	tags
durrett_ch5_markov_property_countable	Countable-state Markov property (5.1 Examples)	A temporally homogeneous countable-state Markov chain satisfies P(X_{n+1}=j | X_n=i, past)=P(X_{n+1}=j | X_n=i)=p(i,j). Exam use: Use this as the first diagnostic for deciding whether a proposed process is Markov and for computing transition probabilities. Pitfall: A function of a Markov chain need not be Markov unless the retained state contains enough information.	markov-property,transition-matrix,countable-state
durrett_ch5_random_walk_chain	Random walk as a Markov chain (5.1 Examples)	If X_n=X_0+xi_1+...+xi_n with iid increments on Z^d, then p(i,j)=mu({j-i}). Exam use: Use whenever increments are independent and stationary; transition probabilities depend only on displacement. Pitfall: A random walk often has no finite equilibrium on infinite groups even though it is Markov.	random-walk,increments,translation-invariance
durrett_ch5_branching_process_chain	Branching process transition kernel (5.1 Examples)	For a Galton-Watson process, p(i,j)=P(xi_1+...+xi_i=j), where each current individual independently produces offspring. Exam use: Recognize absorbing extinction state 0 and use generating functions for transition calculations. Pitfall: The process is Markov in the population size, but it typically does not converge to a nontrivial equilibrium.	branching-process,offspring,absorbing-state
durrett_ch5_ehrenfest_chain	Ehrenfest urn chain (5.1 Examples)	With r balls and state k equal to the number in the first urn, p(k,k+1)=(r-k)/r and p(k,k-1)=k/r. Exam use: A canonical finite birth-death chain for reversibility, stationary distributions, and periodicity. Pitfall: The chain alternates parity, so convergence of p^n(k,j) must account for period 2 unless laziness is added.	ehrenfest,birth-death,finite-chain,periodicity
durrett_ch5_wright_fisher_chain	Wright-Fisher transition law (5.1 Examples)	In a population of N genes, the number of A alleles has binomial transition p(i,j)=C(N,j) rho_i^j(1-rho_i)^{N-j}; without mutation rho_i=i/N, with mutation rho_i=(i/N)(1-u)+((N-i)/N)v. Exam use: Use for absorption/fixation problems, martingale hitting probabilities, and finite-chain equilibrium with mutation. Pitfall: Without mutation, 0 and N are absorbing; with positive mutation rates they are not.	wright-fisher,binomial-transition,mutation,absorption
durrett_ch5_mg1_queue_chain	M/G/1 embedded queue chain (5.1 Examples)	At service-start epochs, X_{n+1}=(X_n+xi_{n+1})^+, where P(xi=k-1)=a_k and a_k is the chance k arrivals occur during one service time. Exam use: Use drift E xi=mean arrivals per service minus 1 to classify recurrence and stability. Pitfall: Do not confuse the continuous-time queue with the embedded discrete chain at service-start times.	queue,mg1,reflected-random-walk,drift
durrett_ch5_general_transition_probability	General transition probability (5.2 Construction, Markov Properties)	On a measurable state space, p(x,A) is a transition probability when A -> p(x,A) is a probability measure and x -> p(x,A) is measurable. Exam use: Use this language for chains beyond countable state spaces, including queues and continuous densities. Pitfall: For general spaces, p(x,y) is usually not a number; the kernel is p(x,A).	transition-kernel,measurable-space,general-state-space
durrett_ch5_finite_dimensional_construction	Finite-dimensional construction of a chain (5.2 Construction, Markov Properties)	Given initial law mu and kernel p, the finite-dimensional laws are iterated integrals mu(dx_0)p(x_0,dx_1)...p(x_{n-1},dx_n). Exam use: Justifies statements that a Markov chain with a specified initial distribution and transition kernel exists. Pitfall: The formula gives path probabilities only for measurable cylinder events, then extension supplies the full path law.	construction,finite-dimensional-distributions,path-space
durrett_ch5_expectation_operator_notation	Transition operator notation (5.2 Construction, Markov Properties)	For bounded measurable f, Pf(x)=E_x f(X_1)=integral f(y)p(x,dy); iterates P^n describe n-step expectations. Exam use: Useful for harmonic equations, hitting probabilities, expected hitting times, and martingale checks. Pitfall: The same symbol p may denote a kernel or a matrix; P as an operator acts on functions.	transition-operator,expectation,harmonic-functions
durrett_ch5_markov_property_shift	Markov property with path shifts (5.2 Construction, Markov Properties)	For bounded future functionals Y, E_x[Y o theta_n | F_n]=E_{X_n}Y. Exam use: Transforms future-path questions after time n into a fresh chain started at X_n. Pitfall: The future functional must be evaluated on the shifted path; forgetting the shift changes the event.	markov-property,shift-operator,monotone-class
durrett_ch5_chapman_kolmogorov	Chapman-Kolmogorov equations (5.2 Construction, Markov Properties)	The n-step kernels satisfy p^{m+n}(x,z)=sum_y p^m(x,y)p^n(y,z) in countable spaces, with the analogous integral formula in general spaces. Exam use: Compute multi-step transitions, prove communication, and derive renewal decompositions for return probabilities. Pitfall: For general spaces, replace sums over y by integration against p^m(x,dy).	chapman-kolmogorov,n-step-transition,semigroup
durrett_ch5_strong_markov_property	Strong Markov property (5.2 Construction, Markov Properties)	At a stopping time T, the post-T process behaves like a fresh chain started from X_T on the event T<infinity. Exam use: The main engine for hitting-time decompositions, renewal arguments, recurrence proofs, and reflection arguments. Pitfall: T must be a stopping time; optional-looking random times that see the future do not qualify.	strong-markov,stopping-time,hitting-times
durrett_ch5_hitting_return_decomposition	Hitting and return time decomposition (5.2 Construction, Markov Properties)	Events involving visits to a state or set can be decomposed at the first hitting time and restarted by the strong Markov property. Exam use: Use for equations like P_x(T_z<infinity) >= P_x(T_y<infinity)P_y(T_z<infinity) and for first-step analysis. Pitfall: Use T_y=inf{n>=1:X_n=y} for returns and V_A=inf{n>=0:X_n in A} for entrance; the indexing matters.	hitting-time,return-time,first-step-analysis
durrett_ch5_reflection_principle	Reflection principle for symmetric random walk (5.2 Construction, Markov Properties)	For one-dimensional simple symmetric random walk, paths crossing a level can be reflected after the first hitting time to convert maximum events into endpoint events. Exam use: Fast route to distributions of maxima and hitting probabilities for simple random walk. Pitfall: The clean reflection bijection uses symmetry and nearest-neighbor increments; it does not transfer unchanged to arbitrary walks.	reflection-principle,simple-random-walk,maximum
durrett_ch5_recurrence_visit_criterion	Expected visits criterion (5.3 Recurrence and Transience)	A state y is recurrent iff E_y N(y)=sum_n p^n(y,y)=infinity; if transient this expected visit count is finite. Exam use: Use Green-function sums to classify states, especially for random walks. Pitfall: The criterion is for visits starting from y; from another x, accessibility must be handled separately.	recurrence,transience,green-function,return-count
durrett_ch5_communication_recurrence_transfer	Recurrence transfers through communication (5.3 Recurrence and Transience)	If x is recurrent and rho_xy>0, then y is recurrent and rho_yx=1. Exam use: Shows recurrence is a class property inside communicating classes. Pitfall: Accessibility in only one direction is not symmetric unless recurrence is known.	communication,recurrence-class,irreducibility
durrett_ch5_finite_closed_recurrent_class	Finite closed classes contain recurrent states (5.3 Recurrence and Transience)	Every finite closed set contains a recurrent state; if the finite closed set is irreducible, all its states are recurrent. Exam use: Use to classify finite Markov chains and prove absorbing/recurrent structure. Pitfall: The set must be closed; otherwise the chain can leave and never return.	finite-chain,closed-class,recurrence
durrett_ch5_decomposition_theorem	Decomposition theorem (5.3 Recurrence and Transience)	The recurrent states split into disjoint irreducible closed classes, while every transient state is visited only finitely often almost surely. Exam use: Organizes the long-run behavior of countable chains before stationary distributions enter. Pitfall: Closed recurrent classes need not be finite; irreducibility is within each class, not necessarily the whole state space.	decomposition,recurrent-classes,transient-states
durrett_ch5_foster_supermartingale_recurrence	Foster-type recurrence criterion (5.3 Recurrence and Transience)	For an irreducible chain, a nonnegative function phi with E_x phi(X_1)<=phi(x) off a finite set and phi(x)->infinity can force recurrence. Exam use: A powerful recurrence test for birth-death chains, queues, and chains with inward drift. Pitfall: Check the direction of drift carefully; superharmonic behavior outside a finite set is the recurrence signal.	foster-criterion,supermartingale,lyapunov,recurrence
durrett_ch5_birth_death_scale_function	Birth-death scale function (5.3 Recurrence and Transience)	For a birth-death chain, harmonic scale functions solve p_x h(x+1)+q_x h(x-1)=h(x) and give explicit two-sided hitting probabilities. Exam use: Use for gambler's ruin probabilities and recurrence tests on {0,1,2,...}. Pitfall: Boundary conventions at 0 matter; write the model's p_0 and q_0 before applying formulas.	birth-death,scale-function,hitting-probability
durrett_ch5_birth_death_recurrence_test	Birth-death recurrence test (5.3 Recurrence and Transience)	For a birth-death chain on nonnegative integers, recurrence of 0 is determined by divergence of the scale sum built from products q_i/p_i. Exam use: High-yield test for nearest-neighbor chains with state-dependent drift. Pitfall: Small asymptotic drift terms such as C/j can decide the boundary between recurrence and transience.	birth-death,recurrence-test,scale-sum
durrett_ch5_random_walk_recurrent_values	Recurrent values form a closed subgroup (5.4 Recurrence of Random Walks Starred Section)	For a random walk on R^d, the set of recurrent values is either empty or a closed subgroup of R^d. Exam use: Clarifies what recurrence can mean outside lattice state spaces. Pitfall: Returning near a value is a topological notion in R^d, not necessarily exact equality.	random-walk,recurrent-values,closed-subgroup
durrett_ch5_random_walk_recurrence_equivalences	Equivalent random-walk recurrence criteria (5.4 Recurrence of Random Walks Starred Section)	For random walks, recurrence can be characterized by infinitely many visits to neighborhoods, divergence of occupation sums, and Green-function criteria. Exam use: Choose the criterion that matches the data: local probabilities, characteristic functions, or limit theorems. Pitfall: The exact form differs between lattice and nonlattice settings; keep the state-space topology visible.	random-walk,recurrence-criteria,green-function
durrett_ch5_simple_random_walk_dimension	Simple random walk recurrence by dimension (5.4 Recurrence of Random Walks Starred Section)	Simple random walk is recurrent in dimensions 1 and 2 and transient in dimensions 3 and higher. Exam use: A central classification result and a common comparison model for Markov-chain recurrence. Pitfall: Parity affects exact return times but not the convergence/divergence classification.	simple-random-walk,dimension,recurrence,transience
durrett_ch5_chung_fuchs_one_dimension	Chung-Fuchs one-dimensional recurrence pattern (5.4 Recurrence of Random Walks Starred Section)	In one dimension, centered weak-law behavior is the key condition behind recurrence for broad random walks. Exam use: Use when increments are not nearest-neighbor but have no drift on the natural scale. Pitfall: Nonzero drift typically pushes the walk to infinity and destroys recurrence.	chung-fuchs,one-dimensional-random-walk,drift
durrett_ch5_two_dimensional_normal_recurrence	Two-dimensional normal-limit recurrence (5.4 Recurrence of Random Walks Starred Section)	A two-dimensional random walk with S_n/sqrt(n) converging to a nondegenerate normal law is recurrent. Exam use: Recognize recurrence for centered finite-variance planar walks. Pitfall: A degenerate limiting covariance needs separate lower-dimensional analysis.	two-dimensional-random-walk,normal-limit,recurrence
durrett_ch5_fourier_recurrence_criterion	Fourier recurrence criterion (5.4 Recurrence of Random Walks Starred Section)	Random-walk recurrence can be tested through integrals involving 1/(1-phi(t)), where phi is the increment characteristic function. Exam use: Useful for non-nearest-neighbor walks and for proving no truly three-dimensional walk is recurrent. Pitfall: The singularity near t=0 is decisive; away from zero the integral is usually harmless.	fourier,characteristic-functions,recurrence
durrett_ch5_no_truly_three_dimensional_recurrence	No truly three-dimensional recurrent random walk (5.4 Recurrence of Random Walks Starred Section)	A random walk with genuinely three-dimensional increment support cannot be recurrent. Exam use: Use as a broad transience result beyond simple random walk. Pitfall: If the walk actually lives in a lower-dimensional subgroup, reduce the dimension before applying the theorem.	three-dimensional,random-walk,transience,fourier
durrett_ch5_stationary_measure_definition	Stationary measures and distributions (5.5 Stationary Measures)	A measure mu is stationary when mu p=mu; if mu(S)=1 it is a stationary distribution. Exam use: Find equilibria, normalize invariant measures, and connect long-run proportions to return times. Pitfall: An infinite stationary measure need not be a probability distribution and does not by itself imply equilibrium probabilities.	stationary-measure,invariant-measure,equilibrium
durrett_ch5_reversibility_detailed_balance	Reversibility and detailed balance (5.5 Stationary Measures)	If mu(x)p(x,y)=mu(y)p(y,x) for all x,y, then mu is stationary and the chain is reversible under mu. Exam use: The fastest way to find stationary distributions for birth-death, Ehrenfest, and many urn chains. Pitfall: Detailed balance is sufficient but not necessary for stationarity unless reversibility is required.	reversibility,detailed-balance,stationary-distribution
durrett_ch5_kolmogorov_cycle_condition	Kolmogorov cycle condition (5.5 Stationary Measures)	For an irreducible chain, reversibility is characterized by equality of transition-probability products around every directed cycle and its reverse. Exam use: Use to test whether a proposed chain can be reversible without solving for pi first. Pitfall: The condition is about all cycles; checking only two-state moves can miss circulation.	kolmogorov-cycle,reversibility,cycles
durrett_ch5_stationary_measure_from_returns	Stationary measure from one recurrent cycle (5.5 Stationary Measures)	If x is recurrent and T_x is the first positive return time, then expected occupation counts before T_x define a stationary measure with mass 1 at x. Exam use: Construct invariant measures for recurrent irreducible chains without guessing. Pitfall: The measure may have infinite total mass when the chain is null recurrent.	occupation-measure,regeneration,stationary-measure,return-time
durrett_ch5_stationary_measure_uniqueness_recurrent	Uniqueness of stationary measure in irreducible recurrent chains (5.5 Stationary Measures)	For an irreducible recurrent countable chain, the stationary measure is unique up to constant multiples. Exam use: Lets you identify all invariant measures once one candidate is found. Pitfall: Uniqueness up to scale does not mean a stationary distribution exists; total mass may be infinite.	irreducible,recurrent,stationary-measure,uniqueness
durrett_ch5_positive_recurrence_return_time	Stationary probability and mean return time (5.5 Stationary Measures)	For an irreducible chain with stationary distribution pi, pi(y)=1/E_y T_y, so states with finite mean return time are positive recurrent. Exam use: Compute stationary probabilities through expected return times and classify positive versus null recurrence. Pitfall: Recurrence only says T_y is finite almost surely; positive recurrence requires finite expectation.	positive-recurrence,mean-return-time,stationary-distribution
durrett_ch5_positive_recurrence_equivalences	Positive recurrence equivalences (5.5 Stationary Measures)	For an irreducible chain, existence of a stationary distribution, finite mean return times, and positive recurrence are equivalent. Exam use: A standard checklist for proving an irreducible chain has an equilibrium law. Pitfall: In infinite state spaces, irreducible recurrent chains can be null recurrent and fail to have a stationary distribution.	positive-recurrence,stationary-distribution,return-times
durrett_ch5_birth_death_stationary_distribution	Birth-death stationary distribution (5.5 Stationary Measures)	For birth-death chains, detailed balance gives pi(x) proportional to products of birth rates divided by death rates, if the normalizing sum is finite. Exam use: Fast equilibrium computation for queues, Ehrenfest-type chains, and one-dimensional population models. Pitfall: The unnormalized weights may define an invariant measure even when their sum diverges.	birth-death,stationary-distribution,detailed-balance
durrett_ch5_mg1_stability_stationarity	M/G/1 stability and stationarity (5.5 Stationary Measures)	For the embedded M/G/1 queue, stability/positive recurrence occurs when the mean number of arrivals during one service time is less than 1. Exam use: Use drift less than zero as the queue stability condition. Pitfall: Recurrence and stationary behavior fail at or above critical load in different ways; do not treat mu=1 as stable.	mg1,queue-stability,positive-recurrence,drift
durrett_ch5_renewal_limit_return_probabilities	Renewal limit for return probabilities (5.6 Asymptotic Behavior)	If y is recurrent, then p^n(y,y) has asymptotics governed by the renewal theorem for the return-time distribution; positive recurrence gives limits tied to 1/E_y T_y. Exam use: Explains why return-time periods and mean cycle lengths control long-run transition probabilities. Pitfall: Periodicity can force p^n(y,y)=0 on many n, so limits may only exist along arithmetic subsequences.	renewal-theorem,return-probabilities,asymptotics
durrett_ch5_period_definition	Period of a state (5.6 Asymptotic Behavior)	The period of state x is the greatest common divisor of {n>=1:p^n(x,x)>0}; irreducible communicating states share the same period. Exam use: Check whether convergence to stationarity can hold at every time or only along residue classes. Pitfall: A chain can be irreducible and positive recurrent but still fail ordinary convergence because of period greater than 1.	periodicity,aperiodic,irreducibility
durrett_ch5_aperiodic_convergence_theorem	Aperiodic convergence theorem (5.6 Asymptotic Behavior)	If a countable chain is irreducible, aperiodic, and has stationary distribution pi, then p^n(x,y) -> pi(y). Exam use: Main equilibrium convergence theorem for prelim Markov-chain problems. Pitfall: Irreducible and stationary are not enough; without aperiodicity the raw n-step probabilities may oscillate.	convergence-to-stationarity,aperiodic,coupling,positive-recurrence
durrett_ch5_coupling_for_finite_chains	Coupling bound for convergence (5.6 Asymptotic Behavior)	If two copies of a Markov chain are run together after meeting, then total variation distance is bounded by the probability their coupling time exceeds n. Exam use: Use for finite irreducible aperiodic chains and for quantitative convergence estimates. Pitfall: The coupling must preserve the correct marginal transition law for each coordinate.	coupling,total-variation,mixing
durrett_ch5_additive_functional_lln	Strong law for additive functionals (5.6 Asymptotic Behavior)	For an irreducible positive recurrent chain with stationary law pi, time averages of suitable f(X_n) converge to sum_x pi(x)f(x). Exam use: Use to turn long-run sample averages into stationary expectations. Pitfall: Integrability under pi is essential; positive recurrence alone does not control arbitrary unbounded rewards.	ergodic-theorem,additive-functional,time-average
