id	front	back	tags
exercise_ch5_state_sufficiency_test	State sufficiency test for the Markov property	A proposed process is Markov only if the retained state contains all information needed to compute the next-step law; record maxima fail when the current walk location is omitted. Use case: Exercises 5.1.1, 5.1.2, 5.1.3, and other state-selection problems.	markov-property,state-choice,counterexample
exercise_ch5_transition_from_one_step_mechanism	Compute transitions from the one-step mechanism	Given the present state, enumerate the next independent draw, swap, birth, or arrival and translate the possible outcomes into transition probabilities. Use case: Coupon, pair-chain, Bernoulli-Laplace, Wright-Fisher, and queue transition computations.	transition-matrix,conditioning,examples
exercise_ch5_hidden_parameter_predictive_markov	Bayesian predictive state for hidden-parameter chains	When a hidden parameter is shared across trials, update its posterior from a sufficient statistic and use the posterior mean as the next-step predictive probability. Use case: Exercise 5.1.6 and temporally inhomogeneous Markov chains from exchangeable coin flips.	bayesian-update,sufficient-statistic,inhomogeneous-markov
exercise_ch5_mendelian_pair_transition	Mendelian pair transition matrix	For unordered genotype-pair states, compute one-offspring genotype probabilities (p,q,r) and map two independent offspring to probabilities p^2, 2pq, 2pr, q^2, 2qr, r^2. Use case: Brother-sister mating transition and absorption computations.	genetics,transition-matrix,mendelian
exercise_ch5_conditional_independence_past_future	Past and future conditional independence	For A in the past and B in the future, condition first on the present sigma-field; the Markov property turns E(1_B|F_n) into a function of X_n. Use case: Exercise 5.2.1 and conditional independence arguments.	markov-property,conditional-independence,tower-property
exercise_ch5_first_entrance_decomposition	First entrance decomposition	Partition {X_n=y} by the first positive hitting time T_y=m, then restart from y by the strong Markov property to get p^n(x,y)=sum_m P_x(T_y=m)p^{n-m}(y,y). Use case: Exercise 5.2.4 and renewal decompositions for Markov chains.	hitting-time,strong-markov,decomposition
exercise_ch5_exit_probability_dirichlet_problem	Exit probabilities solve the Dirichlet problem	An exit probability h(x)=P_x(V_A<V_B) is harmonic off A union B with boundary values 1 and 0; optional stopping at the exit time proves uniqueness on finite domains. Use case: Exercises 5.2.7 and 5.2.8.	dirichlet-problem,harmonic,optional-stopping
exercise_ch5_expected_hitting_time_poisson_equation	Expected hitting times solve a Poisson equation	For g(x)=E_x V_A, first-step analysis gives g=1+Pg off A and g=0 on A; the process g(X_{n∧V_A})+n∧V_A is the uniqueness martingale. Use case: Exercises 5.2.11, 5.2.12, and 5.2.13.	expected-hitting-time,poisson-equation,martingale
exercise_ch5_absorption_probability_martingale	Absorption probability from martingale value	If a bounded martingale is stopped on two absorbing boundary values, the starting value equals the boundary-weighted absorption probability. Use case: Exercises 5.2.8, 5.2.9, and 5.2.10.	martingale,absorption,optional-stopping
exercise_ch5_excursion_iid_cycles	Iid excursions between recurrent returns	At successive return times to a recurrent state, the strong Markov property makes the interarrival times and path excursions iid. Use case: Exercise 5.3.1 and regenerative proofs in Sections 5.5 and 5.6.	excursions,regeneration,strong-markov
exercise_ch5_birth_death_log_product_test	Birth-death recurrence by log product asymptotics	Use log(q_j/p_j) expansions to decide divergence of the birth-death scale sum; for p_j=1/2+C/j the threshold is C=1/4. Use case: Exercise 5.3.4 and nearest-neighbor recurrence boundaries.	birth-death,recurrence,asymptotics
